project_id,commit_sha,author_name,committer_name,commit_date,additions,deletions,changes,microservice
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,4,4,8,ts-admin-order-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,1,2,ts-admin-user-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,2,3,ts-consign-price-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,3,3,6,ts-consign-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,1,2,ts-order-other-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,1,2,ts-order-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,1,2,ts-preserve-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,4,2,6,ts-rebook-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,0,1,ts-station-service
116011653,313886e99befb94be6cd45f085c98e0019f59829,Deep-Yellow,GitHub,2022-11-01T08:21:39Z,1,1,2,ts-user-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,5,11,16,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,4,0,4,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,30,26,56,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,21,21,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,54,54,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,40,40,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,38,38,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,9,5,14,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,57,44,101,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,5,1,6,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,6,2,8,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,6,2,8,ts-admin-basic-info-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,1,3,4,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,4,0,4,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,5,5,10,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,95,95,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,63,63,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,0,70,70,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,1,1,2,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,42,21,63,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,7,1,8,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,3,3,6,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,5,5,10,ts-admin-order-service
116011653,fa8d9efb35b2ed5ec1d18f60510167767c8fb2bf,meixiezichuan,GitHub,2022-08-09T08:20:49Z,1,3,4,ts-admin-route-service
